id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
3288300920,20150421T000000,463000.0,3,1.75,2020,11095,1.0,0,0,4,7,1480,540,1975,0,98034,47.7351,-122.183,2030,10710
7856410411,20140922T000000,1698890.0,4,4.5,3860,15246,2.0,0,4,3,11,2940,920,2004,0,98006,47.56,-122.161,3750,14790
1545803520,20150126T000000,251000.0,3,2.0,1650,7930,1.0,0,0,4,7,1650,0,1989,0,98038,47.3617,-122.05,1510,7930
3226049267,20150425T000000,289500.0,3,1.0,1200,5525,1.0,0,0,2,7,1200,0,1947,0,98115,47.6981,-122.325,1580,7200
8122100130,20140618T000000,415000.0,3,1.75,1270,4800,1.0,0,0,3,7,1270,0,1952,2014,98126,47.5362,-122.376,1220,4800
2288000090,20150429T000000,980000.0,4,1.75,2260,17711,1.0,0,1,4,9,2260,0,1968,0,98040,47.5498,-122.214,2880,16594
3658700690,20150327T000000,480000.0,3,1.5,1200,3060,1.0,0,0,4,7,1060,140,1910,0,98115,47.679,-122.315,1410,3060
7600136,20140718T000000,411000.0,2,2.0,1130,1148,2.0,0,0,3,9,800,330,2007,0,98122,47.6023,-122.314,1350,1201
3401700031,20140822T000000,661000.0,2,1.5,1750,46173,2.0,0,0,4,8,1750,0,1964,0,98072,47.7397,-122.126,2220,42224
7183000070,20140821T000000,369160.0,4,2.25,2120,9680,2.0,0,2,4,8,2120,0,1965,0,98003,47.3367,-122.332,2360,9647
3295700060,20140602T000000,500000.0,3,2.0,1720,5525,1.0,0,2,5,7,960,760,1941,0,98108,47.559,-122.298,1760,5525
3746700120,20141104T000000,857326.0,3,3.5,3940,11632,2.0,0,0,3,10,3940,0,2014,0,98166,47.438,-122.344,2015,11632
8655900162,20150219T000000,156000.0,1,0.75,470,15000,1.0,0,0,3,4,470,0,1947,0,98014,47.6554,-121.908,1730,22500
3362401000,20140701T000000,695000.0,3,2.0,2500,4080,1.5,0,0,5,7,1680,820,1922,0,98103,47.6813,-122.346,1550,3060
4022902555,20150321T000000,609000.0,4,2.5,3240,23870,1.0,0,0,3,9,1840,1400,1972,0,98155,47.7731,-122.282,2290,13340
3626039207,20141017T000000,522500.0,4,1.75,2100,6480,1.0,0,0,5,7,1300,800,1947,0,98177,47.7049,-122.359,1840,7500
1442880610,20140829T000000,533380.0,4,2.75,2790,6685,2.0,0,0,3,8,2790,0,2014,0,98045,47.4838,-121.773,2790,6444
9209900335,20140509T000000,463000.0,2,1.0,1150,4400,1.0,0,0,4,7,1150,0,1905,0,98112,47.6226,-122.292,1240,4400
1972202005,20140521T000000,475000.0,4,2.0,1790,2250,1.0,0,2,4,7,840,950,1909,0,98103,47.6526,-122.345,1440,1545
3244500078,20140822T000000,600000.0,3,2.5,4930,77536,2.0,0,0,3,9,3930,1000,1981,0,98072,47.7634,-122.139,2760,7351
2738600080,20140815T000000,495000.0,4,3.0,2740,2811,2.0,0,0,3,8,2240,500,2003,0,98072,47.7738,-122.158,2740,3596
6117501755,20141230T000000,355000.0,4,1.5,2230,11536,1.0,0,1,4,7,1220,1010,1954,0,98166,47.4409,-122.348,2170,12465
3760500407,20140521T000000,1030000.0,3,4.0,3880,13095,2.0,0,3,3,11,3700,180,2009,0,98034,47.6996,-122.233,3880,10830
6139100086,20150224T000000,350000.0,3,1.0,1540,9800,1.0,0,0,4,7,1540,0,1950,0,98155,47.7604,-122.329,1560,9450
1807900300,20141217T000000,830000.0,6,3.0,2530,9000,1.0,0,0,3,6,2530,0,1978,0,98033,47.6716,-122.199,1886,6000
1624079088,20140811T000000,415000.0,3,2.75,3900,111514,2.0,0,0,3,6,3460,440,1967,2008,98024,47.5621,-121.924,2460,217800
3438501583,20140911T000000,452000.0,3,2.75,2300,5090,2.0,0,0,3,8,1700,600,2007,0,98106,47.545,-122.36,1530,9100
7236100025,20150504T000000,280000.0,3,1.0,1020,8400,1.0,0,0,4,7,1020,0,1957,0,98056,47.4905,-122.18,1690,8030
5540000050,20140612T000000,299000.0,3,2.5,2210,10119,1.0,0,0,4,7,1450,760,1966,0,98030,47.3783,-122.22,2110,10119
2475200140,20150205T000000,370000.0,3,2.0,1680,5036,1.0,0,1,4,7,1680,0,1987,0,98055,47.4734,-122.186,1680,4921
2877102670,20140707T000000,555000.0,3,1.5,1740,4200,1.5,0,0,4,7,1640,100,1920,0,98117,47.6782,-122.361,1660,3750
7011201016,20141001T000000,585000.0,3,2.5,1700,1156,2.0,0,2,3,9,1320,380,2002,0,98119,47.6373,-122.369,1710,1686
9117100040,20140828T000000,375000.0,5,1.5,2050,9360,1.0,0,0,3,7,1520,530,1968,0,98055,47.436,-122.195,1840,9383
8700120270,20141210T000000,278000.0,4,2.5,1850,6037,2.0,0,0,3,7,1850,0,1991,0,98030,47.359,-122.191,1860,6037
3654800200,20141022T000000,265000.0,3,2.5,1720,6271,2.0,0,0,3,7,1720,0,1993,0,98038,47.3898,-122.049,1570,6587
7523700210,20150415T000000,205000.0,3,1.0,970,7700,1.0,0,0,4,7,970,0,1959,0,98032,47.3793,-122.304,1160,8250
2768301182,20141204T000000,439950.0,3,2.0,1230,1613,2.0,0,0,3,8,1010,220,2003,0,98107,47.6661,-122.37,1610,1873
3394100030,20140909T000000,975000.0,4,2.5,2720,11049,2.0,0,0,3,10,2720,0,1989,0,98004,47.5815,-122.192,2750,11049
9325200120,20140909T000000,600600.0,4,3.5,3110,6829,2.0,0,0,3,8,3110,0,2014,0,98148,47.4349,-122.328,2910,7425
1702901340,20140613T000000,718500.0,3,2.0,2910,6600,2.0,0,0,4,7,1920,990,1900,1988,98118,47.5576,-122.281,1370,5500
9211010220,20141104T000000,530000.0,4,2.5,3250,4500,2.0,0,0,3,8,3250,0,2008,0,98059,47.4944,-122.15,3030,4598
263000253,20150330T000000,380000.0,3,2.25,1550,1485,3.0,0,0,3,8,1550,0,2011,0,98103,47.6989,-122.346,1550,1480
4400800061,20140725T000000,419000.0,4,2.0,2180,10447,1.0,0,0,4,8,1280,900,1969,0,98155,47.7675,-122.279,2190,10987
2586800210,20150421T000000,425000.0,5,2.0,2500,7804,1.5,0,0,3,7,1570,930,1921,0,98146,47.5031,-122.348,1170,7676
3904901840,20140630T000000,491500.0,3,2.25,1470,4322,2.0,0,0,3,7,1470,0,1985,0,98029,47.5672,-122.018,1610,4322
8078570410,20150326T000000,279000.0,3,2.5,1920,7779,2.0,0,0,3,7,1920,0,1989,0,98031,47.4024,-122.171,1960,7536
3886902590,20150226T000000,470000.0,5,2.0,1900,6000,1.5,0,0,4,6,1900,0,1920,0,98033,47.6831,-122.186,2110,8400
3448000755,20140604T000000,399950.0,3,1.5,2080,5244,1.0,0,0,3,7,1190,890,1959,0,98125,47.7144,-122.293,1850,6982
